City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Ossora,RU,2022-02-02 21:51:34,59.2353,163.0719,16.29,72,100,12.62
273,Victoria,HK,2022-02-02 21:49:41,22.2855,114.1577,57.25,91,100,7.0
274,Popondetta,PG,2022-02-02 21:52:35,-8.7537,148.2534,79.09,77,100,0.89
275,Peniche,PT,2022-02-02 21:52:35,39.3558,-9.3811,57.61,79,93,3.06
276,Seguin,US,2022-02-02 21:52:36,29.5688,-97.9647,62.24,95,100,5.99
277,Leningradskiy,RU,2022-02-02 21:52:36,69.3833,178.4167,-14.39,95,30,9.86
278,Provideniya,RU,2022-02-02 21:50:25,64.3833,-173.3,10.51,72,75,38.03
279,Shelburne,CA,2022-02-02 21:52:37,44.0787,-80.2041,32.56,94,100,10.27
280,Goba,ET,2022-02-02 21:52:37,7.0167,39.9833,50.04,46,99,3.85
281,Saint-Francois,FR,2022-02-02 21:52:38,46.4154,3.9054,44.04,93,100,1.14
282,Sambava,MG,2022-02-02 21:52:38,-14.2667,50.1667,76.59,83,100,3.87
283,Akrata,GR,2022-02-02 21:52:38,38.15,22.3167,45.81,85,100,4.34
284,Seoul,KR,2022-02-02 21:51:47,37.5683,126.9778,22.44,80,0,3.44
285,Tautira,PF,2022-02-02 21:52:39,-17.7333,-149.15,86.02,77,16,17.43
286,Talaya,RU,2022-02-02 21:52:39,61.3833,152.75,-11.0,98,100,4.54
287,Omboue,GA,2022-02-02 21:52:39,-1.5746,9.2618,77.65,86,82,5.84
288,Talnakh,RU,2022-02-02 21:52:40,69.4865,88.3972,-6.12,99,93,6.29
289,Clyde River,CA,2022-02-02 21:52:40,70.4692,-68.5914,-16.37,76,100,8.05
290,Krasnoselkup,RU,2022-02-02 21:52:40,65.7,82.4667,-23.57,100,89,5.7
291,Ojinaga,MX,2022-02-02 21:52:41,29.5667,-104.4167,59.95,36,75,9.22
292,Gat,IL,2022-02-02 21:52:13,31.61,34.7642,59.4,55,98,4.45
