City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1368,Hobyo,SO,79.52,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
1374,Wodonga,AU,81.27,broken clouds,-36.1167,146.8833,The Hume Inn Motel
1380,Kimbe,PG,84.87,light rain,-5.5502,150.1429,Kimbe Bay Hotel
1383,Kuala Terengganu,MY,85.95,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
1385,Mabini,PH,89.91,overcast clouds,15.6,120.9833,4 Angel's Resort
1392,Yeppoon,AU,85.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
1405,Port Keats,AU,84.67,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
1408,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
1414,Poya,NC,79.57,overcast clouds,-21.35,165.15,
1416,Le Port,RE,87.8,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
1431,Chokwe,MZ,82.15,scattered clouds,-24.5333,32.9833,Complexo Sonho Real
1436,Springbok,ZA,75.78,clear sky,-29.6643,17.8865,Undulata Country Lodge
1440,Sola,VU,86.67,scattered clouds,-13.8833,167.55,Leumerus Bungalows
1445,Marzuq,YE,75.25,clear sky,14.4,46.4667,
1460,Moree,AU,84.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
1465,Lhokseumawe,ID,83.39,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
1468,Ruwi,OM,76.96,few clouds,23.5996,58.5507,Al Falaj Hotel
1471,Imbituba,BR,78.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
1473,Sompeta,IN,80.31,broken clouds,18.9333,84.6,Netaji's Home
1475,Banjar,ID,85.91,broken clouds,-8.19,114.9675,The Hamsa Resort
1476,Matara,LK,86.43,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
1479,Tevaitoa,PF,80.28,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
1486,Murray Bridge,AU,88.83,broken clouds,-35.1167,139.2667,Balcony On Sixth Lodge
1487,Sao Raimundo Nonato,BR,75.29,overcast clouds,-9.0153,-42.6994,Real Hotel
1488,Kalmunai,LK,82.02,broken clouds,7.4167,81.8167,VS Villa
1493,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
1498,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
1500,Atambua,ID,82.0,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
1501,Puerto Ayacucho,VE,75.54,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
1502,Kribi,CM,76.39,light rain,2.95,9.9167,La Grace Hôtel
1503,Victor Harbor,AU,87.8,broken clouds,-35.5667,138.6167,McCracken Country Club
1506,Ampanihy,MG,85.59,few clouds,-24.7,44.75,Angora Hotel
1509,Rio De Janeiro,BR,78.8,broken clouds,-22.9028,-43.2075,Hotel Málaga
1513,Uturoa,PF,80.4,light rain,-16.7333,-151.4333,Villa Tonoï
